dataset name,Single median,Single mean,Net median,Net mean
01_iris_setosa_versicolor,1.0,0.9800000000000001,1.0,1.0
02_iris_setosa_virginica,1.0,1.0,1.0,1.0
03_iris_versicolor_virginica,0.85,0.82,0.95,0.93
04_seeds_1_2,0.9285714285714286,0.9357142857142857,0.9285714285714286,0.9214285714285715
05_ecoli_cp_im,0.8863636363636364,0.9,0.9318181818181818,0.9318181818181819
06_glasses_1_2,0.5,0.475,0.6875,0.725
07_breast_tissue_adi_fadmasgla,1.0,0.9866666666666667,1.0,0.9866666666666667
08_breast-cancer,0.9473684210526315,0.9382394038192826,0.9557522123893806,0.9577860580655179
09_accent_recognition_uk_us,0.8125,0.7875,0.8125,0.85
10_leaf_11_9,1.0,1.0,1.0,1.0
11_vertebral_column_2C,0.6935483870967742,0.6838709677419355,0.7096774193548387,0.7032258064516128
