dataset name,accuracy mean_original,accuracy mean_neuralnet,accuracy_mean_delta_%,f1 score mean_original,f1 score mean_neuralnet,f1_score_mean_delta_%
08_breast_cancer_lite,0.5375,0.6,11.627906976744185,0.3474747474747475,0.5352941176470589,54.05266757865939
06_glasses_1_2,0.5625,0.6,6.6666666666666625,0.3257575757575757,0.3624269005847953,11.256629946960446
03_iris_versicolor_virginica,0.91,0.95,4.395604395604387,0.8940231807173337,0.9382820512820512,4.950528299412298
05_ecoli_cp_im,0.931818181818182,0.9636363636363636,3.414634146341443,0.8932092638544251,0.9474078341013824,6.0678468574180116
12_breast-cancer,0.9347461574289706,0.959509392951405,2.649193615360342,0.9084127791697276,0.9435507302852354,3.8680599746321493
11_vertebral_column_2C,0.6935483870967742,0.7064516129032258,1.8604651162790582,0.2463842609003899,0.2598764529188977,5.47607707132013
01_iris_setosa_versicolor,0.99,1.0,1.010101010101011,0.993103448275862,1.0,0.6944444444444459
02_iris_setosa_virginica,1.0,1.0,0.0,1.0,1.0,0.0
07_breast_tissue_adi_fadmasgla,0.9866666666666668,0.9866666666666668,0.0,0.9904761904761904,0.9904761904761904,0.0
09_accent_recognition_uk_us,0.7875,0.7875,0.0,0.8782010582010582,0.853013653013653,-2.8680681891912236
10_leaf_11_9,1.0,1.0,0.0,1.0,1.0,0.0
04_seeds_1_2,0.9357142857142856,0.8928571428571429,-4.580152671755709,0.9334197324414716,0.890432864626413,-4.605309521646948
